SentID,Original_Sentence,Reference_Output,Output,Roman_Script
HL0015_EN_64,"After the juices, the patient should adopt a well- balanced diet which should contain an adequate amount of all the essential nutrients.",रसांनंतर रूग्णाने सर्व आवश्यक पोषकांचे योग्य  प्रमाण असलेला लसंतुलित आहार स्विकारला पाहिजे.,"Rasa ghētalyānantara, rugṇānē santulita āhārācā avalamba kēlā pāhijē jyāmadhyē sarva āvaśyaka pōṣaka tatvān̄cā purēsā pramāṇāta samāvēśa asāvā","Rasa ghētalyānantara, rugṇānē santulita āhārācā avalamba kēlā pāhijē jyāmadhyē sarva āvaśyaka pōṣaka tatvān̄cā purēsā pramāṇāta samāvēśa asāvā"
HL0015_EN_65,"Ideally, the diet should be lacto-vegetarian, with emphasis on raw and cooked vegetables, fruit and vegetable juices, and a moderate amount of fruits and seeds.","आदर्श स्थितीत, कच्च्या व शिजविलेल्या भाज्या, फळांचे व भाज्यांचे रस, आणि फळे व बिया ह्यांचे साधारण प्रमाण ह्यांवर भर असलेला दुग्ध- वनस्पतीजन्य आहार असला पाहिजे.","Tadvataca, āhāra hā laikṭō-śākāhārī asāvā, jyāmadhyē kaccyā āṇi śijavalēlyā bhājyā, phaḷē āṇi bhājyān̄cē rasa āṇi madhyama pramāṇāta phaḷē āṇi biyā yāvara bhara dyāvā","Tadvataca, āhāra hā laikṭō-śākāhārī asāvā, jyāmadhyē kaccyā āṇi śijavalēlyā bhājyā, phaḷē āṇi bhājyān̄cē rasa āṇi madhyama pramāṇāta phaḷē āṇi biyā yāvara bhara dyāvā"
HL0015_EN_66,Pears should be eaten generously as they have a specific healing effect on gall-bladder.,पेअर सढळरित्या खाल्ली पाहिजेत कारण त्यांचा पित्ताशयावर विशिष्ट असा आरामदायक परिणाम होतो.,Nāśapātī udārapaṇē khāvē kāraṇa tyān̄cā pittāśayāvara viśiṣṭa upacāra prabhāva asatō,Nāśapātī udārapaṇē khāvē kāraṇa tyān̄cā pittāśayāvara viśiṣṭa upacāra prabhāva asatō
HL0015_EN_67,"Yogurt, cottage cheese and a tablespoon of olive oil twice a day should also be included in the diet.","दही, पनीर, व दिवसातून दोनदा एक चमचा ऑलीव्हाचे तेल ह्यांचा देखील समावेश आहारात केला पाहिजे.","Divasātūna dōnadā dahī, kŏṭēja cīja āṇi ēka camacā ŏlivha ŏ'īla yān̄cāhī āhārāta samāvēśa karāvā","Divasātūna dōnadā dahī, kŏṭēja cīja āṇi ēka camacā ŏlivha ŏ'īla yān̄cāhī āhārāta samāvēśa karāvā"
HL0015_EN_68,"Oil serves as a stimulant for the production of bile and lipase, the fat digesting enzymes.","तेल हे  पित्त व मेद पचविणारे विकर, लायपेज ह्यांच्या उत्पादनात एका उद्दीपकाचे कार्य करते.","Pitta āṇi lipēsa, carabī pacavaṇārē ēnjhā'īma tayāra karaṇyāsāṭhī tēla uttējaka mhaṇūna kāma karatē","Pitta āṇi lipēsa, carabī pacavaṇārē ēnjhā'īma tayāra karaṇyāsāṭhī tēla uttējaka mhaṇūna kāma karatē"
HL0015_EN_69,High quality vegetable oil in the diet also prevents gall-stone formation.,आहारातील उच्च प्रतीचे वनस्पती तेलदेखील पित्ताशयातील खड्यांच्या निर्मितीस प्रतिबंध करते.,Āhārātīla ucca darjācē vanaspatī tēla dēkhīla pitta-sṭōna tayāra hōṇyāsa pratibandha karatē,Āhārātīla ucca darjācē vanaspatī tēla dēkhīla pitta-sṭōna tayāra hōṇyāsa pratibandha karatē
HL0015_EN_70,The patient should eat frequent small meals rather than three large meals.,तीन प्रमुख जेवणांऐवजी रूग्णाने वारंवार लहान प्रमाणातील जेवणे घेतली पाहिजेत.,Rugṇānē tīna mōṭhyā jēvaṇāmpēkṣā vāranvāra lahāna jēvaṇa khāvē,Rugṇānē tīna mōṭhyā jēvaṇāmpēkṣā vāranvāra lahāna jēvaṇa khāvē
HL0015_EN_71,Oil cure has been advocated by some nature cure practitioners for the removal of gall-stones.,निसर्गोपचाराचा अवलंब करणा-या काही जणांनी पित्ताशयातील खड्यांना दूर करण्यासाठी तेलाच्या उपचाराची शिफारस केली आहे.,Pitta-dagaḍa kāḍhūna ṭākaṇyāsāṭhī kāhī nisarga upacāra abhyāsakānnī tēla upacārācā sallā dilā āhē,Pitta-dagaḍa kāḍhūna ṭākaṇyāsāṭhī kāhī nisarga upacāra abhyāsakānnī tēla upacārācā sallā dilā āhē
HL0015_EN_72,"Raw, natural, unrefined vegetable oils for example, olive or sunflower oil are used.","कच्ची, नैसर्गिक, अपरिष्कृत तेले, उदाहरणार्थ, ऑलीव्हाचे किंवा सूर्यफुलाचे तेल, वापरली जातात.","Kaccē, naisargika, apariṣkr̥ta vanaspatī tēlē udāharaṇārtha, ŏlivha kinvā sūryaphūla tēla vāparalē jātāta","Kaccē, naisargika, apariṣkr̥ta vanaspatī tēlē udāharaṇārtha, ŏlivha kinvā sūryaphūla tēla vāparalē jātāta"
HL0015_EN_73,"The procedure is to take one ounce of vegetable oil, preferably olive oil, first thing in the morning and follow it immediately with four ounces of grapefruit juice or lemon juice.","ही पद्धती म्हणजे सकाळची पहिली गोष्ट म्हणून एक औंस वनस्पती तेलाचे, शक्यतो ऑलीव्हाचे तेलाचे सेवन करणे व त्यानंतर लगेच चार औंस पपनस रस अथवा लिंबाचा रस घेणे.","Prakriyā aśī āhē kī ēka aunsa vanaspatī tēla, śakyatō ŏlivha ŏ'ila, sakāḷī sarvāta ādhī ghyā āṇi lagēcaca cāra aunsa drākṣācā rasa kinvā limbācā rasa ghyā.","Prakriyā aśī āhē kī ēka aunsa vanaspatī tēla, śakyatō ŏlivha ŏ'ila, sakāḷī sarvāta ādhī ghyā āṇi lagēcaca cāra aunsa drākṣācā rasa kinvā limbācā rasa ghyā."
HL0023_EN_78,The man who commits suicide claims that life is not worth living.,आत्महत्या करणारा माणूस असा दावा करतो की जीवन हे जगण्यालायक नाही.,Ātmahatyā karaṇārā māṇūsa asā dāvā karatō kī jīvana jagaṇē yōgya nāhī,Ātmahatyā karaṇārā māṇūsa asā dāvā karatō kī jīvana jagaṇē yōgya nāhī
HL0023_EN_79,"Those who do not care for their health also commit suicide, slowly and painfully.",जे त्यांच्या आरोग्याची काळजी करत नाहीत ते देखील हळूहळू व वेदनादायकरित्या आत्महत्या करतात.,Jē tyān̄cyā ārōgyācī kāḷajī karata nāhīta tē dēkhīla haḷūhaḷū va vēdanādāyakarityā ātmahatyā karatāta.,Jē tyān̄cyā ārōgyācī kāḷajī karata nāhīta tē dēkhīla haḷūhaḷū va vēdanādāyakarityā ātmahatyā karatāta.
HL0023_EN_80,"There are people who reduce their physical activity to a minimum, hoping to gain time for the pursuit of wealth.",अशी माणसे आहेत जी संपत्तीच्या शोधार्थ वेळ मिळावा ह्या आशेने त्यांच्या शारीरीक  कृतींना एका किमान पातळीपर्यंत कमी करतात.,Aśī māṇasē āhēta jī sampattīcyā śōdhārtha vēḷa miḷāvā hyā āśēnē tyān̄cyā śārīrīka  kr̥tīnnā ēkā kimāna pātaḷīparyanta kamī karatāta.,Aśī māṇasē āhēta jī sampattīcyā śōdhārtha vēḷa miḷāvā hyā āśēnē tyān̄cyā śārīrīka  kr̥tīnnā ēkā kimāna pātaḷīparyanta kamī karatāta.
HL0023_EN_81,This philosophy defeats itself.,हे तत्त्वज्ञान स्वतःचाच पराभव करते.,Hē tattvajñāna svataḥcāca parābhava karatē.,Hē tattvajñāna svataḥcāca parābhava karatē.
HL0023_EN_82,"Temporarily, the man who neglects his body may gain time for other affairs.","जो माणूस त्याच्या शरीराकडे दुर्लक्ष करतो तो तात्पुरता, त्याच्या इतर कांमांसाठी वेळ काढू शकतो.","Jō māṇūsa tyācyā śarīrākaḍē durlakṣa karatō tō tātpuratā, tyācyā itara kāmmānsāṭhī vēḷa kāḍhū śakatō.","Jō māṇūsa tyācyā śarīrākaḍē durlakṣa karatō tō tātpuratā, tyācyā itara kāmmānsāṭhī vēḷa kāḍhū śakatō."
HL0023_EN_83,"If no immediate bad effects follow, he feels that he has an edge over the man who devotes time and thought to cultivate his body.",त्याच्यानंतर कोणतेही तातडीचे वाईट परिणाम घडले नाहीत तर त्याला वाटते की जो माणूस शरीरसाधनेसाठी आपला वेळ व आपले विचार देतो त्याच्यापेक्षा आपण जास्त चांगले आहोत.,Tyācyānantara kōṇatēhī tātaḍīcē vā'īṭa pariṇāma ghaḍalē nāhīta tara tyālā vāṭatē kī jō māṇūsa śarīrasādhanēsāṭhī āpalā vēḷa va āpalē vicāra dētō tyācyāpēkṣā āpaṇa jāsta cāṅgalē āhōta.,Tyācyānantara kōṇatēhī tātaḍīcē vā'īṭa pariṇāma ghaḍalē nāhīta tara tyālā vāṭatē kī jō māṇūsa śarīrasādhanēsāṭhī āpalā vēḷa va āpalē vicāra dētō tyācyāpēkṣā āpaṇa jāsta cāṅgalē āhōta.
HL0023_EN_84,"Temporarily, the man who neglects his body does gain time for other activities.",जो माणूस त्याच्या शरीराकडे दूर्लक्ष करतो त्याला इतर कांमांसाठी तात्पुरता वेळ मिळतो.,Jō māṇūsa tyācyā śarīrākaḍē dūrlakṣa karatō tyālā itara kāmmānsāṭhī tātpuratā vēḷa miḷatō.,Jō māṇūsa tyācyā śarīrākaḍē dūrlakṣa karatō tyālā itara kāmmānsāṭhī tātpuratā vēḷa miḷatō.
HL0023_EN_85,The habit of laziness is created first by the non-physical demand of life.,आळसाची सवय ही आधी जीवनाच्या अ-शारीरीक गरजेपोटी निर्माण होते.,Āḷasācī savaya hī ādhī jīvanācyā a-śārīrīka garajēpōṭī nirmāṇa hōtē.,Āḷasācī savaya hī ādhī jīvanācyā a-śārīrīka garajēpōṭī nirmāṇa hōtē.
HL0023_EN_86,Then the habit of neglect becomes a force in itself to discourage the return to a physically active life.,"दूर्लक्ष करायची सवय ही त्यानंतर, शारीरीकदृष्टया कार्यशील आयुष्याकडे परतण्यास नाउमेद करायला,  स्वतःच एक शक्ती बनते.","Dūrlakṣa karāyacī savaya hī tyānantara, śārīrīkadr̥ṣṭayā kāryaśīla āyuṣyākaḍē parataṇyāsa nā'umēda karāyalā,  svataḥca ēka śaktī banatē.","Dūrlakṣa karāyacī savaya hī tyānantara, śārīrīkadr̥ṣṭayā kāryaśīla āyuṣyākaḍē parataṇyāsa nā'umēda karāyalā,  svataḥca ēka śaktī banatē."
HL0023_EN_87,Thus a vicious circle of body neglect is established.,अशाप्रकारे शरीराकडे दूर्लक्ष करण्याचे एक दुष्टचक्र प्रस्थापित होते.,Aśāprakārē śarīrākaḍē dūrlakṣa karaṇyācē ēka duṣṭacakra prasthāpita hōtē.,Aśāprakārē śarīrākaḍē dūrlakṣa karaṇyācē ēka duṣṭacakra prasthāpita hōtē.
HL0028_EN_92,"They carry the entire weight of the body from place to place, tirelessly.",ते संपूर्ण शरीराचे वजन एका ठिकाणाहून दुस~या ठिकाणी अथकपणे वाहून नेत असतात.,Tē sampūrṇa śarīrācē vajana ēkā ṭhikāṇāhūna dusa~yā ṭhikāṇī athakapaṇē vāhūna nēta asatāta.,Tē sampūrṇa śarīrācē vajana ēkā ṭhikāṇāhūna dusa~yā ṭhikāṇī athakapaṇē vāhūna nēta asatāta.
HL0028_EN_93,A series of small joints in the spine is the most important of them all.,पाठीच्या कण्यातील लहान सांध्यांची साखळी ही त्यापैकी सर्वात महत्त्वाची आहे.,Pāṭhīcyā kaṇyātīla lahāna sāndhyān̄cī sākhaḷī hī tyāpaikī sarvāta mahattvācī āhē.,Pāṭhīcyā kaṇyātīla lahāna sāndhyān̄cī sākhaḷī hī tyāpaikī sarvāta mahattvācī āhē.
HL0028_EN_94,"Due to their flexibility one can bend, twist or turn and still keep the strength and control over them.","त्यांच्या लवचिकतेमुळे एखादा वाकू शकतो, वळू किंवा फिरू शकतो आणि तरीही ताकद शिल्लक ठेवू शकतो आणि त्यांच्यावर नियंत्रण ठेवू शकतो.","Tyān̄cyā lavacikatēmuḷē ēkhādā vākū śakatō, vaḷū kinvā phirū śakatō āṇi tarīhī tākada śillaka ṭhēvū śakatō āṇi tyān̄cyāvara niyantraṇa ṭhēvū śakatō.","Tyān̄cyā lavacikatēmuḷē ēkhādā vākū śakatō, vaḷū kinvā phirū śakatō āṇi tarīhī tākada śillaka ṭhēvū śakatō āṇi tyān̄cyāvara niyantraṇa ṭhēvū śakatō."
HL0028_EN_95,These joints become stiffer as you advance in age.,तुमच्या वाढत्या वयाबरोबर हे सांधे कडक होत जातात.,Tumacyā vāḍhatyā vayābarōbara hē sāndhē kaḍaka hōta jātāta.,Tumacyā vāḍhatyā vayābarōbara hē sāndhē kaḍaka hōta jātāta.
HL0028_EN_96,You can remain young as long as you can keep your joints flexible with the help of exercise.,व्यायामाच्या सहाय्याने तुम्ही तुमचे सांधे जेवढा अधिक काळ लवचिक ठेवू शकाल तेवढे तुम्ही तरुण रहाल.,Vyāyāmācyā sahāyyānē tumhī tumacē sāndhē jēvaḍhā adhika kāḷa lavacika ṭhēvū śakāla tēvaḍhē tumhī taruṇa rahāla.,Vyāyāmācyā sahāyyānē tumhī tumacē sāndhē jēvaḍhā adhika kāḷa lavacika ṭhēvū śakāla tēvaḍhē tumhī taruṇa rahāla.
HL0028_EN_97,Yoga exercises (Asana) are the best for the mobility of the spine.,पाठीच्या कण्याच्या चलनवलनासाठी योग व्यायाम(आसने) हे उत्तम व्यायाम आहेत.,Pāṭhīcyā kaṇyācyā calanavalanāsāṭhī yōga vyāyāma(āsanē) hē uttama vyāyāma āhēta.,Pāṭhīcyā kaṇyācyā calanavalanāsāṭhī yōga vyāyāma(āsanē) hē uttama vyāyāma āhēta.
HL0028_EN_98,Yoga strengthens the nervous system.,योगामुळे मज्जासंस्था मजबूत होते.,Yōgāmuḷē majjāsansthā majabūta hōtē.,Yōgāmuḷē majjāsansthā majabūta hōtē.
HL0028_EN_99,The spine is like the battery of your body.,पाठीचा कणा म्हणजे तुमच्या शरीराची उर्जा-संचायिकाच आहे.,Pāṭhīcā kaṇā mhaṇajē tumacyā śarīrācī urjā-san̄cāyikāca āhē.,Pāṭhīcā kaṇā mhaṇajē tumacyā śarīrācī urjā-san̄cāyikāca āhē.
HL0028_EN_100,"If in use, you will keep it flexible.","ती वापरात राहिली तरच, तुम्ही ती लवचिक ठेवू शकाल.","Tī vāparāta rāhilī taraca, tumhī tī lavacika ṭhēvū śakāla.","Tī vāparāta rāhilī taraca, tumhī tī lavacika ṭhēvū śakāla."
HL0029_EN_1,It makes you feel young and keeps all other functions of the body in a firm condition.,ह्यामुळे तुमची वृत्ती तरूण होते व शरीराची इतर कार्ये योग्य स्थितीत राखली जातात.,Hyāmuḷē tumacī vr̥ttī tarūṇa hōtē va śarīrācī itara kāryē yōgya sthitīta rākhalī jātāta.,Hyāmuḷē tumacī vr̥ttī tarūṇa hōtē va śarīrācī itara kāryē yōgya sthitīta rākhalī jātāta.
HL0031_EN_4,"Lie on the floor face down, hands under shoulders, palms flat on the floor.","चेहरा खाली ठेवून हात खांद्यांखाली ठेवून, हाताचे तळवे जमिनीवर सपाट ठेवून जमिनीवर झोपा.","Cēharā khālī ṭhēvūna hāta khāndyāṅkhālī ṭhēvūna, hātācē taḷavē jaminīvara sapāṭa ṭhēvūna jaminīvara jhōpā.","Cēharā khālī ṭhēvūna hāta khāndyāṅkhālī ṭhēvūna, hātācē taḷavē jaminīvara sapāṭa ṭhēvūna jaminīvara jhōpā."
HL0031_EN_5,"Straighten the arms, lift the body and raise the hip to the highest point.","बाहू / हात सरळ करा, शरीर वर उचला आणि कंबर / नितंब सर्वोच्च बिंदुपर्यंत उंच उचला.","Bāhū/ hāta saraḷa karā, śarīra vara ucalā āṇi kambara/ nitamba sarvōcca binduparyanta un̄ca ucalā.","Bāhū/ hāta saraḷa karā, śarīra vara ucalā āṇi kambara/ nitamba sarvōcca binduparyanta un̄ca ucalā."
HL0031_EN_6,"Then the head travels slowly down in the direction of the arms and after the nose has reached the floor level, the chin and the chest are brought to the same level.",नंतर डोके हळुहळु बाहूंच्या दिशेने खाली येते आणि नाक जमिनीच्या सपाटीपर्यंत पोहोचल्यानंतर हनुवटी व छाती त्याच पातळीवर येतात.,Nantara ḍōkē haḷuhaḷu bāhūn̄cyā diśēnē khālī yētē āṇi nāka jaminīcyā sapāṭīparyanta pōhōcalyānantara hanuvaṭī va chātī tyāca pātaḷīvara yētāta.,Nantara ḍōkē haḷuhaḷu bāhūn̄cyā diśēnē khālī yētē āṇi nāka jaminīcyā sapāṭīparyanta pōhōcalyānantara hanuvaṭī va chātī tyāca pātaḷīvara yētāta.
HL0031_EN_7,"Take a deep breath in, at the starting position and breathe out slowly during the movement.",सुरुवातीच्या स्थितीत असताना आत खोल श्वास घ्या आणि हालचाल करत असताना हळुहळु श्वास बाहेर सोडा.,Suruvātīcyā sthitīta asatānā āta khōla śvāsa ghyā āṇi hālacāla karata asatānā haḷuhaḷu śvāsa bāhēra sōḍā.,Suruvātīcyā sthitīta asatānā āta khōla śvāsa ghyā āṇi hālacāla karata asatānā haḷuhaḷu śvāsa bāhēra sōḍā.
HL0031_EN_8,This is a difficult exercise and to make it easy the hands can be placed on a higher level than that of the feet.,"हा एक कठीण व्यायाम आहे आणि तो सोपा करण्यासाठी, पायांच्या पातळीपेक्षा हात अधिक उंच पातळीवर ठेवता येतात.","Hā ēka kaṭhīṇa vyāyāma āhē āṇi tō sōpā karaṇyāsāṭhī, pāyān̄cyā pātaḷīpēkṣā hāta adhika un̄ca pātaḷīvara ṭhēvatā yētāta.","Hā ēka kaṭhīṇa vyāyāma āhē āṇi tō sōpā karaṇyāsāṭhī, pāyān̄cyā pātaḷīpēkṣā hāta adhika un̄ca pātaḷīvara ṭhēvatā yētāta."
HL0031_EN_9,"This is a good exercise to strengthen your arms, chest and back.","तुमचे बाहू, छाती आणि मान बलवान करण्यासाठी हा एक चांगला व्यायाम आहे.","Tumacē bāhū, chātī āṇi māna balavāna karaṇyāsāṭhī hā ēka cāṅgalā vyāyāma āhē.","Tumacē bāhū, chātī āṇi māna balavāna karaṇyāsāṭhī hā ēka cāṅgalā vyāyāma āhē."
HL0031_EN_10,"Start by keeping the hands on the waist, feet together, body erect.","हात कमरेवर, पाय जुळलेले आणि शरीर ताठ ठेवून सुरुवात करा","Hāta kamarēvara, pāya juḷalēlē āṇi śarīra tāṭha ṭhēvūna suruvāta karā","Hāta kamarēvara, pāya juḷalēlē āṇi śarīra tāṭha ṭhēvūna suruvāta karā"
HL0031_EN_11,"Bend at the knees and the hips, lowering the body until calf and thigh form an angle of about 110 degrees.",पोट~या आणि मांडया ह्यात सुमारे ११० अंशाचा कोन होईपर्यंत रितीने शरीर खाली करुन गुढघे आणि कंबर वाकवा.,Pōṭa~yā āṇi māṇḍayā hyāta sumārē 110 anśācā kōna hō'īparyanta ritīnē śarīra khālī karuna guḍhaghē āṇi kambara vākavā.,Pōṭa~yā āṇi māṇḍayā hyāta sumārē 110 anśācā kōna hō'īparyanta ritīnē śarīra khālī karuna guḍhaghē āṇi kambara vākavā.
HL0031_EN_12,Now jump as high as 15-20 centimetres and land on straight legs.,आता १५ ते २० सेंटिमीटर उंच उडी मारा आणि सरळ केलेल्या पायांवर उभे रहा.,Ātā 15 tē 20 sēṇṭimīṭara un̄ca uḍī mārā āṇi saraḷa kēlēlyā pāyānvara ubhē rahā.,Ātā 15 tē 20 sēṇṭimīṭara un̄ca uḍī mārā āṇi saraḷa kēlēlyā pāyānvara ubhē rahā.
HL0031_EN_13,This combination will break your monotony and will be more effective.,हा संयोग तुमचा नष्ट करील आणि तो अधिक परिणामकारक होईल.,Hā sanyōga tumacā naṣṭa karīla āṇi tō adhika pariṇāmakāraka hō'īla.,Hā sanyōga tumacā naṣṭa karīla āṇi tō adhika pariṇāmakāraka hō'īla.
HL0034_EN_17,"Whatever sugar we eat should be burnt up to produce energy, and if they can't be they will produce health problems.","जी साखर आपण खातो ती उर्जा निर्माण करण्यासाठी जाळली पाहिजे, व ती जाळली नाही तर त्यामुळे आरोग्यविषयक समस्या निर्माण होतील.","Jī sākhara āpaṇa khātō tī urjā nirmāṇa karaṇyāsāṭhī jāḷalī pāhijē, va tī jāḷalī nāhī tara tyāmuḷē ārōgyaviṣayaka samasyā nirmāṇa hōtīla.","Jī sākhara āpaṇa khātō tī urjā nirmāṇa karaṇyāsāṭhī jāḷalī pāhijē, va tī jāḷalī nāhī tara tyāmuḷē ārōgyaviṣayaka samasyā nirmāṇa hōtīla."
HL0034_EN_18,They selected 10 countries which consume more sugar and 10 countries which consume less sugar.,त्यांनी अधिक साखर सेवन करणारी १०राष्ट्रे व कमी साखर सेवन करणारी १० राष्ट्रे निवडली.,Tyānnī adhika sākhara sēvana karaṇārī 10rāṣṭrē va kamī sākhara sēvana karaṇārī 10 rāṣṭrē nivaḍalī.,Tyānnī adhika sākhara sēvana karaṇārī 10rāṣṭrē va kamī sākhara sēvana karaṇārī 10 rāṣṭrē nivaḍalī.
HL0034_EN_19,They found that countries which consume the least amount of sugar have the least number of heart problems.,त्यांना आढळले की  ज्या राष्ट्रांमध्ये कमीतकमी प्रमाणात साखर सेवन केली जाते तेथे हृदयाच्या समस्या कमीतकमी असतात.,Tyānnā āḍhaḷalē kī  jyā rāṣṭrāmmadhyē kamītakamī pramāṇāta sākhara sēvana kēlī jātē tēthē hr̥dayācyā samasyā kamītakamī asatāta.,Tyānnā āḍhaḷalē kī  jyā rāṣṭrāmmadhyē kamītakamī pramāṇāta sākhara sēvana kēlī jātē tēthē hr̥dayācyā samasyā kamītakamī asatāta.
HL0034_EN_20,The eyes become brighter and more youthful and sight improves by fasting.,डोळे अधिक चमकणारे व अधिक तरुण होतात व उपवासाने दृष्टी सुधारते.,Ḍōḷē adhika camakaṇārē va adhika taruṇa hōtāta va upavāsānē dr̥ṣṭī sudhāratē.,Ḍōḷē adhika camakaṇārē va adhika taruṇa hōtāta va upavāsānē dr̥ṣṭī sudhāratē.
HL0034_EN_21,The kidney and the liver function better after a fast.,मूत्रपिंड व वृक्क ही उपवासानंतर अधिक चांगल्या प्रकारे कार्य करतात.,Mūtrapiṇḍa va vr̥kka hī upavāsānantara adhika cāṅgalyā prakārē kārya karatāta.,Mūtrapiṇḍa va vr̥kka hī upavāsānantara adhika cāṅgalyā prakārē kārya karatāta.
HL0034_EN_22,"If you are suffering from a severe liver and kidney ailment, better be careful. As these organs help in the excretion of body's morbid matter during a fast, their load of work increases.",तुम्ही एखादाया गंभीर अशा वृक्क व मूत्रपिंडाच्या आजाराने पीडीत असाल तर सतर्क राहणे चांगले. हे अवयव एखाद्या उपवासादरम्यान शरीरातील टाकाऊ घटक बाहेर टाकण्यास सहाय्य करतात त्यामुळे त्यांच्यावरील कामाचा भार वाढतो.,Tumhī ēkhādāyā gambhīra aśā vr̥kka va mūtrapiṇḍācyā ājārānē pīḍīta asāla tara satarka rāhaṇē cāṅgalē. Hē avayava ēkhādyā upavāsādaramyāna śarīrātīla ṭākā'ū ghaṭaka bāhēra ṭākaṇyāsa sahāyya karatāta tyāmuḷē tyān̄cyāvarīla kāmācā bhāra vāḍhatō.,Tumhī ēkhādāyā gambhīra aśā vr̥kka va mūtrapiṇḍācyā ājārānē pīḍīta asāla tara satarka rāhaṇē cāṅgalē. Hē avayava ēkhādyā upavāsādaramyāna śarīrātīla ṭākā'ū ghaṭaka bāhēra ṭākaṇyāsa sahāyya karatāta tyāmuḷē tyān̄cyāvarīla kāmācā bhāra vāḍhatō.
HL0034_EN_23,The skin becomes fresh and youthful.,त्वचा ताजी व तरुण होते.,Tvacā tājī va taruṇa hōtē.,Tvacā tājī va taruṇa hōtē.
HL0034_EN_24,"Wrinkles, blotches, decolouration and pimples disappear during fasting.","सुरकुत्या, ब्लोच, रंगबदल, मुरूमे उपवासादरम्यान नाहिशी होतात.","Surakutyā, blōca, raṅgabadala, murūmē upavāsādaramyāna nāhiśī hōtāta.","Surakutyā, blōca, raṅgabadala, murūmē upavāsādaramyāna nāhiśī hōtāta."
HL0034_EN_25,"At the initial stage of a fast, the pulse rate may rise.",उपवासाच्या सुरवातीच्या टप्प्यावर हृदयाची स्पंदने वाढू शकतात.,Upavāsācyā suravātīcyā ṭappyāvara hr̥dayācī spandanē vāḍhū śakatāta.,Upavāsācyā suravātīcyā ṭappyāvara hr̥dayācī spandanē vāḍhū śakatāta.
HL0034_EN_26,Slowly it comes down and settles at approx. 40 beats per minute.,हळूहळू ते कमी होतात व सुमारे दर मिनिटाला ४० ठोके असे स्थिर होतात.,Haḷūhaḷū tē kamī hōtāta va sumārē dara miniṭālā 40 ṭhōkē asē sthira hōtāta.,Haḷūhaḷū tē kamī hōtāta va sumārē dara miniṭālā 40 ṭhōkē asē sthira hōtāta.
HL0038_EN_80,"People, who sleep long, say sixteen hours, do so because they sleep through two cycles for lack of an effective body wake-up signal.",जे लोक सोळा तास झोपतात त्याचे कारण ते शरीराला जागृतावस्थेचा परिणामकारक संदेश प्राप्त न झाल्याने दोन चक्रे झोप घेतात.,Jē lōka sōḷā tāsa jhōpatāta tyācē kāraṇa tē śarīrālā jāgr̥tāvasthēcā pariṇāmakāraka sandēśa prāpta na jhālyānē dōna cakrē jhōpa ghētāta.,Jē lōka sōḷā tāsa jhōpatāta tyācē kāraṇa tē śarīrālā jāgr̥tāvasthēcā pariṇāmakāraka sandēśa prāpta na jhālyānē dōna cakrē jhōpa ghētāta.
HL0038_EN_81,Hydrotherapy is known to help the insomniacs in a big way.,निद्रानाशावर उदकचिकित्सेचा मोठा फायदा होत असल्याचे ज्ञात आहे.,Nidrānāśāvara udakacikitsēcā mōṭhā phāyadā hōta asalyācē jñāta āhē.,Nidrānāśāvara udakacikitsēcā mōṭhā phāyadā hōta asalyācē jñāta āhē.
HL0038_EN_82,Many treatments are useful to achieve good quality sleep.,चांगल्या प्रतीची झोप मिळण्यासाठी अनेक उपचारपद्धती फायदेशीर आहेत.,Cāṅgalyā pratīcī jhōpa miḷaṇyāsāṭhī anēka upacārapad'dhatī phāyadēśīra āhēta.,Cāṅgalyā pratīcī jhōpa miḷaṇyāsāṭhī anēka upacārapad'dhatī phāyadēśīra āhēta.
HL0038_EN_83,A relaxed body will help achieve good sleep.,शरीराला विश्राम मिळाल्यास चांगली झोप येण्यास मदत होईल.,Śarīrālā viśrāma miḷālyāsa cāṅgalī jhōpa yēṇyāsa madata hō'īla.,Śarīrālā viśrāma miḷālyāsa cāṅgalī jhōpa yēṇyāsa madata hō'īla.
HL0038_EN_84,The temperature rhythms of the body can be altered with the help of different water treatments.,विविध उदकचिकित्सांच्या मदतीने शारीरिक तापमानाच्या लयी बदलता येतात.,Vividha udakacikitsān̄cyā madatīnē śārīrika tāpamānācyā layī badalatā yētāta.,Vividha udakacikitsān̄cyā madatīnē śārīrika tāpamānācyā layī badalatā yētāta.
HL0038_EN_85,If you sleep in a room which is overcrowded or poorly ventilated your sleep will not be refreshing.,आपण जर गर्दी वा अपुरे वायुविजन असलेल्या खोलीत झोपलात तर आपली झोप आपल्याला ताजीतवानी करणारी असणार नाही.,Āpaṇa jara gardī vā apurē vāyuvijana asalēlyā khōlīta jhōpalāta tara āpalī jhōpa āpalyālā tājītavānī karaṇārī asaṇāra nāhī.,Āpaṇa jara gardī vā apurē vāyuvijana asalēlyā khōlīta jhōpalāta tara āpalī jhōpa āpalyālā tājītavānī karaṇārī asaṇāra nāhī.
